Macd,Date
-0.167644,2021-01-31T00:00:00Z
-0.144073,2021-02-01T00:00:00Z
-0.114219,2021-02-02T00:00:00Z
-0.158172,2021-02-03T00:00:00Z
-0.169633,2021-02-04T00:00:00Z
-0.178871,2021-02-05T00:00:00Z
-0.188304,2021-02-06T00:00:00Z
-0.185803,2021-02-07T00:00:00Z
-0.167889,2021-02-08T00:00:00Z
-0.159176,2021-02-09T00:00:00Z
-0.164651,2021-02-10T00:00:00Z
-0.152986,2021-02-11T00:00:00Z
-0.142074,2021-02-12T00:00:00Z
-0.138563,2021-02-13T00:00:00Z
-0.143197,2021-02-14T00:00:00Z
-0.144098,2021-02-15T00:00:00Z
-0.126184,2021-02-16T00:00:00Z
-0.118931,2021-02-18T00:00:00Z
-0.127798,2021-02-19T00:00:00Z
-0.149741,2021-02-20T00:00:00Z
-0.131392,2021-02-21T00:00:00Z
-0.112908,2021-02-22T00:00:00Z
-0.109735,2021-02-23T00:00:00Z
-0.118473,2021-02-24T00:00:00Z
-0.136848,2021-02-25T00:00:00Z
-0.139227,2021-02-26T00:00:00Z
-0.138866,2021-02-27T00:00:00Z
-0.1182,2021-02-28T00:00:00Z
-0.123871,2021-03-01T00:00:00Z
